,post_url,query,tags,count
32418764818.0,https://www.instagram.com/p/B_ok4DDCbJL/,#бессмертныйполк,"['бессмертныйполк', '9мая', '75летпобеды', 'годпамятииславы', 'баговская_сб']",210
19571026330.0,https://www.instagram.com/p/B_l8r8egYYT/,#бессмертныйполкроссии,"['талантливыедети', 'бессмертныйполк', 'бессмертныйполконлайн', '75летиепобеды', 'деньпобеды', '75победачелны', 'япомню', 'ягоржусь', 'правнукипобедителей', 'бессмертныйполктатарстан', 'бессмертныйполкчелны', 'бессмертныйполкказань', 'бессмертныйполкроссии']",209
16465991742.0,https://www.instagram.com/p/B1WmNkopJae/,#бесмертныйполк,"['уроди', 'мафия', 'беспридел', 'хулиганы2', 'гиопика', 'ганджа', 'вор', 'гангстеры', 'хулиганы', 'братзабрата', 'блатной', 'бандит', 'бандиты', 'наркотики', 'ворывзаконе', 'волки', 'базарунет', 'марихуана', 'скемтытам', 'криминал', 'бесмертныйполк', 'ауе', 'ауежизньворам']",205
6287576354.0,https://www.instagram.com/p/B_Zz1Ntgx7u/,#наследникипобеды,"['марафонпобеды', 'яксатовскаясош', 'приволжскийрайон', 'наследникипобеды']",204
11688675709.0,https://www.instagram.com/p/BxPNttVn79Q/,#спасибодедузапобеду,"['9мая', 'спасибодедузапобеду']",204
10805254055.0,https://www.instagram.com/p/B_nVtpzlKd_/,#наследникипобеды,"['рдш', 'мывсеравноскажемспасибо', 'внукипобеды', 'наследникипобеды']",202
34406929983.0,https://www.instagram.com/p/B_wjtuenf-D/,#наследникипобеды,"['рдш', 'наследникипобеды', 'военныепесни', 'рдш', 'наследникипобеды', 'стихиовойне', 'наследникипобеды', 'военныепесни', 'стихиовойне', 'деньпобеды', '9мая', 'школа_5_нальчик', 'рдш07', 'рдш_нальчик']",199
32405970275.0,https://www.instagram.com/p/B_k4kd7gnkz/,#спасибодедузапобеду,"['песниистихипобедынашей', 'нашапобеда', 'рдш_дагестан', 'подписка', 'лайки', 'взаимныелайки', 'фоловер', 'доброцентр05', 'развивайся', 'школьники', 'top', 'instagram', 'instabook', 'рекомендации', 'творидобро', 'развитие', 'дагестан', 'рдш', 'добронеуходитнаканикулы', '75летпобеды', 'рдш_буйнакск', 'спасибодедузапобеду', 'сидимдома', 'школа9', 'мбоусош9буйнакск', 'школа9буйнакск', 'образование', '75летпобеды', 'россия2020']",191
11703607923.0,https://www.instagram.com/p/CAENgSlodVZ/,#бессмертныйполк,"['читаем_о_войне_с_граубинкой', 'стихи', 'стих', 'стихотворение', 'стихиолюбви', 'стихотворения', 'стихии', 'стихиожизни', 'стихи21века', 'стихипролюбовь', 'стихотворцы', 'читаючтохочу', 'читаюкакмогу', 'открытьдушу', 'душапросит', 'ахматова', 'асадов', 'современныестихи', 'классика', 'читаючтохочу', 'библиотекарь', 'библиотека', 'чита', 'забайкалье', 'марафон', 'конкурс', 'война', 'бессмертныйполк', '75летпобеды', 'литературапобеды']",191
3473182373.0,https://www.instagram.com/p/CADUdAzjShb/,#бессмертныйполк,"['блокадныйадрес', 'olgettler', 'москва', 'петербург', 'ленинград', 'блокада', 'вов', 'бессмертныйполк', 'ищучеловека', 'память', 'instagram', 'instagramrussia', 'russia_ww', 'russia', 'инстаграмнедели']",191
30161093602.0,https://www.instagram.com/p/CACjQyqKZn1/,#спасибодедузапобеду,"['repost', 'спасибодедузапобеду', 'вов', '19411945', '75летпобеды', 'спасибодедузапобеду', 'курахскийрайон', 'республикадагестан', 'паркпобеды', 'бессмертныйполк', 'памятигероев', 'вечныйогонь', 'детипротиввойны']",189
22966554866.0,https://www.instagram.com/p/B_j5O_NFEKr/,#бессмертныйполконлайн,"['школьникипомнят', 'рдш', 'рдшкбр', 'рдшнальчик', 'бессмертныйполконлайн', 'рдш20школа', 'regrann']",189
3047075073.0,https://www.instagram.com/p/B__0pX0nBhW/,#деньпобеды,"['кубинка', 'деньпобеды', 'русскиевитязи', 'стрижи', 'су30', 'земцов', 'депутат']",189
8581672723.0,https://www.instagram.com/p/Bppfq19lmu_/,#наследникипобеды,"['самаялюбимаясош23', 'школьныйлагерь', 'наследникипобеды']",188
